mbti,function_pair,danceability,danceability_stdev,energy,energy_stdev,loudness,loudness_stdev,mode,mode_stdev,speechiness,speechiness_stdev,acousticness,acousticness_stdev,liveness,liveness_stdev,valence,valence_stdev,tempo,tempo_stdev,instrumentalness,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,Gminor_count,A#/BbMajor_count,F#/GbMajor_count,Bminor_count
5,1,0.5578409090909090,0.1550105687592340,0.553325,0.2251779886440220,-8.35259090909091,3.2733173083044800,0.6590909090909090,0.4794949774542020,0.067340909090909,0.0610825797043672,0.2934690909090910,0.286088047024543,0.1634022727272730,0.0862658963811048,0.4488840909090910,0.2217635037635360,120.95479545454500,32.16577792925890,0.0199709929545454,0.0818045868243899,1.0,5.0,3.0,5.0,4.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0.5876363636363640,0.1356442539747400,0.5562727272727270,0.1916419631642680,-8.215696969696970,3.3568674709918200,0.6363636363636360,0.4885042104591970,0.0742727272727272,0.083388227109434,0.3414339393939390,0.2670767565576820,0.1545424242424240,0.1124956722231540,0.4476030303030300,0.2160686819116330,131.87124242424200,33.21600808630370,0.0610408642424242,0.1775587266648990,1.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
5,1,0.6770000000000000,0.1280094065421180,0.8512800000000000,0.1283364583063290,-5.0461,2.180554266273430,0.58,0.4985693819032900,0.272546,0.1760128627141110,0.05808475,0.0748175942013921,0.26452,0.2080966288500980,0.26503,0.1705175366527520,128.20602,26.927194372134200,0.2503575614,0.3318046649596020,0.0,0.0,3.0,13.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,9.0
5,1,0.517,0.1694773889516050,0.5134119047619050,0.2583449161653440,-10.172833333333300,4.935139797939190,0.7857142857142860,0.4152997322366330,0.0515095238095238,0.0339109005391698,0.4421630364285720,0.3670245719208120,0.152645238095238,0.095955861810499,0.3378452380952380,0.2118900050617390,120.59357142857100,34.335224458871900,0.2109271526190480,0.2943462125272820,2.0,6.0,0.0,2.0,3.0,0.0,1.0,5.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,5.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0
5,1,0.5604,0.1414500705159940,0.445862,0.2425916699362300,-10.572240000000000,5.685179014861400,0.82,0.3880879344916040,0.065178,0.0586843173084528,0.4796774,0.3614064802215970,0.169092,0.1266345099819450,0.351366,0.1951161220025300,114.69308,30.03414246326460,0.069537275,0.2062770291685680,2.0,12.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0
5,1,0.6139354838709680,0.0981794056761637,0.7283870967741940,0.1280337657076850,-6.98658064516129,1.6396721171054000,0.5483870967741940,0.5058794110206740,0.2897709677419360,0.1226524281416080,0.1883548387096770,0.1864059384581760,0.2204096774193550,0.1858567483392140,0.5082903225806450,0.1634672635011640,96.372935483871,22.354511010734100,0.0288639158064516,0.1605624892862390,1.0,1.0,0.0,6.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0
5,1,0.5208000000000000,0.1641574654695540,0.6187520000000000,0.2189639745226950,-7.242380000000000,4.592926570859380,0.64,0.4848732213850610,0.065084,0.0539468043350037,0.263626766,0.3009764052537750,0.15108,0.1002989592393150,0.402024,0.2027460496205410,131.27542,31.14320905835900,0.0453293966,0.1640133370749380,1.0,5.0,1.0,3.0,5.0,0.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,4.0,3.0,0.0,1.0,1.0,2.0,2.0
5,1,0.6654000000000000,0.1041560838161570,0.41108,0.1520283056351210,-10.79756,2.9257488708893300,0.26,0.443087497693452,0.088266,0.084354027062332,0.237461314,0.2531122872734940,0.189096,0.162794743634744,0.4345400000000000,0.1949954693351220,99.42746,28.48007585349480,0.662444266,0.2739336074174060,5.0,3.0,2.0,1.0,4.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,1.0,4.0
5,1,0.5564000000000000,0.1281930941500170,0.49264,0.167891335119366,-9.1336,2.1472813376120800,0.98,0.1414213562373090,0.049366,0.0385510983988148,0.57667846,0.3217234339618620,0.143194,0.1366273666225190,0.3607480000000000,0.1749045678450430,118.52132000000000,29.14347989841620,0.0038886866,0.0252870738845523,1.0,13.0,0.0,1.0,5.0,1.0,0.0,6.0,0.0,5.0,0.0,7.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0
5,1,0.4950180000000000,0.175262182248569,0.5745196,0.2270308412561370,-9.631500000000000,4.809709517513210,0.76,0.4314191105869000,0.044406,0.0202692831845708,0.3167257600000000,0.334734067012177,0.169324,0.1062326164602940,0.39092,0.2286115366596300,118.31884,26.424222326602400,0.3207216536,0.390177155875224,0.0,6.0,0.0,7.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,3.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,2.0
5,1,0.62752,0.0899866747505043,0.89672,0.0915126934431748,-3.39622,1.789910353358860,0.5,0.5050762722761050,0.187964,0.1370975948523010,0.014073806,0.0588668866190922,0.218584,0.1703808199898340,0.33932,0.209851836945469,134.09514,33.44215299131150,0.1243236626000000,0.226818795277732,0.0,2.0,2.0,10.0,5.0,0.0,4.0,1.0,5.0,0.0,7.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
5,1,0.53956,0.1315890572958100,0.604652,0.2235176067027440,-7.666720000000000,3.789696638766430,0.64,0.484873221385061,0.053668,0.0493477888179854,0.29447955,0.3084310015262710,0.138808,0.0827612347389174,0.430516,0.2225486393614500,122.317,33.55615273428300,0.0668512178,0.1762762636512910,1.0,5.0,0.0,5.0,3.0,1.0,4.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0
5,1,0.63826,0.1296332046780530,0.7315600000000000,0.1611684579461340,-7.102160000000000,2.4275234071466500,0.48,0.5046720495044490,0.3071,0.1039980867170950,0.1229784,0.1561873503247600,0.247842,0.1911133856096520,0.58396,0.1799499885172180,108.17912000000000,36.1852193326028,3.07844E-05,8.86994777188223E-05,0.0,0.0,2.0,5.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0
5,1,0.5239333333333330,0.1574223329426000,0.7252444444444440,0.1674563926350480,-6.0246,2.9019729057064900,0.5777777777777780,0.4994946941609590,0.0831066666666666,0.0708854851150783,0.1336195711111110,0.2184929009674320,0.1720444444444440,0.1198667888562430,0.4442600000000000,0.206186359217269,128.99584444444400,32.74450586875440,0.0312605006666666,0.1169327427235390,1.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0
5,1,0.5715,0.1308661317700060,0.5888478260869560,0.1927434642086970,-6.773565217391310,3.192602064162810,0.7608695652173910,0.4312659714888850,0.0560934782608695,0.0439872527099179,0.3406821956521740,0.3247668313188280,0.1761391304347830,0.0967407635057295,0.4599956521739130,0.2103318488658890,131.57189130434800,30.12933978716000,0.0806609652173912,0.1810593506148540,1.0,3.0,0.0,6.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
5,1,0.6465000000000000,0.1072476154532500,0.7333600000000000,0.1624951817182060,-4.578360000000000,1.6610324642664100,0.6,0.4948716593053940,0.07298,0.0695395937724748,0.19027228,0.1959098928681080,0.170216,0.1188511697674960,0.52184,0.2039881309072180,117.79082,23.605052105981900,0.0002757743999999,0.0013179814663389,4.0,2.0,1.0,8.0,3.0,3.0,3.0,1.0,2.0,0.0,2.0,6.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0
5,1,0.5469473684210530,0.1637726994221670,0.3572631578947370,0.176843886617316,-10.953105263157900,4.551168005086860,0.8947368421052630,0.3153017676423060,0.0716684210526315,0.0753770525987818,0.6526526315789470,0.2768938893600080,0.1597947368421050,0.0862071759947074,0.3317421052631580,0.1986758479863600,110.30542105263200,28.191860187168700,0.01350632,0.0582408864500784,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0
5,1,0.57512,0.1350270781611400,0.5871400000000000,0.1926121205417560,-7.152980000000000,2.709427113857490,0.76,0.4314191105869000,0.0544199999999999,0.0529511943169541,0.347586872,0.3047304471100060,0.1385520000000000,0.0862767337805316,0.402292,0.200661239395949,112.79906,25.9678273964189,0.0501229568,0.1461484905790830,2.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,5.0,2.0,4.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0
