acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.114,0.845,0.583,0.000536,9,0.1,-5.948,0.0773,149.941,4,0.842,7
0.0112,0.746,0.765,0,6,0.0936,-4.41,0.0993,114.044,4,0.737,7
0.0135,0.843,0.807,6.44e-05,1,0.227,-3.794,0.0632,104.962,4,0.833,7
0.0104,0.704,0.646,0,6,0.191,-6.658,0.0596,141.87,4,0.64,7
0.0106,0.294,0.686,3.31e-06,2,0.688,-8.556,0.0396,173.105,4,0.561,7
0.306,0.479,0.733,2.4e-05,0,0.414,-8.753,0.0256,99.307,4,0.806,7
0.377,0.74,0.357,0.047,0,0.328,-9.921,0.0352,119.973,4,0.453,7
0.517,0.869,0.532,0,7,0.103,-7.186,0.23,89.004,4,0.509,7
0.00987,0.601,0.794,1.36e-06,7,0.388,-5.844,0.0671,114.066,4,0.244,7
0.156,0.682,0.683,2.32e-05,8,0.273,-6.444,0.0287,120.023,4,0.64,7
0.00152,0.515,0.726,0.00015,1,0.087,-5.926,0.0547,170.987,4,0.35,7
0.0118,0.155,0.643,0.000375,11,0.84,-10.567,0.0968,107.133,4,0.19,7
0.292,0.654,0.85,4.6e-05,0,0.0638,-5.719,0.0804,154.962,4,0.52,7
0.618,0.714,0.454,0,0,0.0586,-8.899,0.166,175.537,3,0.81,7
0.407,0.593,0.539,2.31e-06,7,0.286,-5.946,0.0349,91.98,4,0.577,7
0.00293,0.442,0.943,8.71e-06,3,0.091,-3.205,0.0602,85.064,4,0.781,7
0.127,0.5,0.748,0,4,0.447,-9.072,0.0363,118.852,4,0.514,7
0.0318,0.58,0.935,0,9,0.0977,-3.348,0.189,172.023,4,0.603,7
0.00126,0.526,0.763,6.75e-05,0,0.359,-12.663,0.0341,136.205,4,0.514,7
0.00205,0.638,0.924,0.000175,7,0.149,-3.887,0.036,111.995,4,0.53,7
0.0861,0.648,0.842,0,4,0.122,-4.695,0.0758,150.026,4,0.818,7
4.46e-05,0.437,0.803,0.0164,10,0.107,-4.791,0.04,147.507,4,0.735,7
0.457,0.575,0.54,0.000634,8,0.165,-9.172,0.101,134.079,4,0.49,7
0.0222,0.738,0.652,0,2,0.0758,-4.098,0.0488,132.046,4,0.745,7
0.205,0.204,0.56,0.926,2,0.0937,-10.086,0.0856,119.718,4,0.0364,7
0.0293,0.517,0.871,0,5,0.261,-2.258,0.0387,87.961,4,0.638,7
0.368,0.528,0.488,0,0,0.0903,-7.873,0.0308,144.018,4,0.0694,7
0.771,0.662,0.602,1.3e-06,1,0.089,-7.672,0.0322,172.025,4,0.863,7
0.949,0.504,0.0597,0.928,5,0.111,-23.911,0.0321,99.351,4,0.0644,7
0.953,0.423,0.198,0,7,0.104,-16.403,0.0474,115.782,4,0.28,7
0.417,0.715,0.62,0,1,0.0822,-6.005,0.0484,97.95,4,0.172,7
0.00543,0.611,0.797,0.00137,6,0.26,-7.627,0.0533,120.041,4,0.518,7
0.0632,0.707,0.681,5.15e-06,0,0.0322,-4.325,0.0668,117.999,4,0.646,7
0.0277,0.303,0.9,0.635,2,0.11,-2.352,0.0574,149.508,4,0.491,7
0.17,0.461,0.593,0,1,0.307,-4.954,0.0356,134.17,3,0.175,7
6.55e-05,0.555,0.876,3.76e-06,5,0.138,-5.316,0.0403,104.635,4,0.458,7
0.891,0.651,0.23,0.000294,0,0.113,-12.175,0.0274,136.16,4,0.36,7
0.00157,0.553,0.756,3.23e-06,1,0.0958,-5.917,0.0276,140.058,4,0.746,7
0.0442,0.573,0.635,0,0,0.12,-8.267,0.0387,120.121,4,0.269,7
0.299,0.494,0.584,0.115,9,0.139,-6.513,0.029,140.047,4,0.194,7
0.0701,0.642,0.71,0.000154,11,0.0922,-9.859,0.0471,130.015,4,0.624,7
0.802,0.367,0.186,0.0117,6,0.139,-17.776,0.0485,104.743,5,0.11,7
0.258,0.448,0.576,0.933,6,0.119,-11.564,0.0348,120.019,4,0.0607,7
0.0159,0.698,0.393,0.00013,6,0.328,-9.233,0.266,109.694,4,0.776,7
0.0107,0.658,0.517,0,6,0.0629,-8.513,0.0545,120.033,4,0.476,7
0.000508,0.553,0.864,0.0297,0,0.0853,-5.948,0.0396,134.014,4,0.231,7
0.285,0.752,0.605,0.000123,0,0.166,-3.562,0.0411,123.077,4,0.719,7
0.493,0.696,0.395,7.3e-05,0,0.109,-10.631,0.0406,129.933,4,0.217,7
0.27,0.658,0.774,0,0,0.251,-5.244,0.353,85.0,4,0.563,7
0.293,0.623,0.69,0,7,0.194,-5.165,0.0642,73.999,4,0.308,7
0.124,0.575,0.546,0.0289,2,0.243,-10.526,0.0742,77.728,4,0.421,7
0.392,0.434,0.187,0.182,0,0.102,-16.855,0.0345,129.257,5,0.263,7
0.112,0.605,0.516,0,5,0.131,-9.462,0.0897,91.895,4,0.375,7
0.0992,0.644,0.784,0.742,6,0.111,-11.028,0.0403,122.016,4,0.0336,7
0.182,0.669,0.554,0.883,2,0.163,-8.914,0.0362,77.902,4,0.249,7
0.941,0.408,0.15,0.37,8,0.1,-10.892,0.0355,122.756,4,0.131,7
0.794,0.51,0.697,0.0121,7,0.0897,-7.497,0.0435,160.969,4,0.356,7
0.82,0.663,0.392,0.00069,11,0.104,-10.945,0.0372,103.995,4,0.237,7
0.444,0.411,0.401,1.23e-05,9,0.0947,-10.305,0.116,77.899,4,0.502,7
0.0574,0.295,0.671,0.000426,7,0.398,-9.126,0.0596,82.513,4,0.316,7
0.913,0.44,0.241,8.08e-05,11,0.112,-12.968,0.0381,149.82,4,0.123,7
0.47,0.367,0.498,1.36e-05,5,0.296,-7.571,0.0271,184.286,4,0.35,7
0.572,0.586,0.44,7.69e-06,5,0.109,-10.742,0.0413,122.94,3,0.326,7
0.055,0.713,0.791,0.000696,0,0.0598,-5.583,0.0299,116.025,4,0.504,7
0.121,0.632,0.668,0.0785,1,0.0876,-8.121,0.0281,145.035,4,0.612,7
0.616,0.518,0.273,0.000764,1,0.121,-10.242,0.0427,119.904,4,0.125,7
0.0098,0.602,0.923,0,5,0.0561,-3.763,0.044,136.01,4,0.765,7
0.00139,0.516,0.85,0,4,0.296,-3.909,0.0706,120.324,4,0.583,7
0.235,0.785,0.674,0.00253,7,0.107,-7.508,0.0398,129.959,4,0.517,7
0.946,0.697,0.116,0.931,5,0.109,-17.708,0.037,88.003,4,0.0483,7
0.0399,0.638,0.82,0,7,0.163,-4.392,0.0664,100.099,4,0.431,7
0.0483,0.691,0.631,1.13e-05,2,0.104,-6.478,0.0368,92.004,4,0.8,7
0.127,0.5,0.748,0,4,0.447,-9.072,0.0363,118.852,4,0.514,7
0.136,0.464,0.417,0.022,0,0.0974,-9.345,0.0256,67.528,4,0.479,7
0.0105,0.53,0.816,0.00061,9,0.379,-6.149,0.0503,87.019,4,0.371,7
0.00813,0.71,0.768,3.66e-05,0,0.0791,-4.772,0.0457,118.085,4,0.419,7
0.672,0.512,0.525,1.66e-05,5,0.112,-7.152,0.0429,128.054,4,0.337,7
0.338,0.679,0.673,6.26e-06,6,0.178,-9.531,0.145,95.916,4,0.804,7
0.572,0.565,0.376,0.00359,1,0.169,-11.898,0.0307,94.161,4,0.0628,7
0.44,0.761,0.525,6.7e-06,11,0.0921,-6.9,0.0944,80.87,4,0.531,7
0.193,0.579,0.904,0,5,0.064,-2.729,0.0618,82.014,4,0.681,7
0.8,0.754,0.548,0.0127,1,0.0762,-9.521,0.0544,111.892,4,0.548,7
0.0352,0.404,0.962,0,3,0.146,-2.901,0.0978,158.121,4,0.572,7
0.00329,0.446,0.451,3.5e-06,6,0.388,-5.969,0.042,159.217,4,0.605,7
0.00947,0.598,0.888,0,4,0.347,-5.119,0.0807,103.966,4,0.482,7
0.544,0.515,0.479,0.00598,3,0.191,-7.458,0.0261,88.964,4,0.284,7
0.419,0.277,0.446,0.00037,6,0.0859,-10.35,0.035,108.461,3,0.1,7
